,time,lev,temp,twb,td,pres,rh,uvmet_wdir,uvmet_wspd
0,2040-06-01 00:00:00,8.985384941101074,300.5425720214844,297.8368835449219,23.724916458129883,100820.1484375,81.68927764892578,290.3526611328125,2.6935980319976807
1,2040-06-01 00:00:00,27.82308006286621,300.27630615234375,297.6952209472656,23.622068405151367,100606.796875,82.46837615966797,290.10040283203125,3.6123085021972656
2,2040-06-01 00:00:00,48.40018081665039,300.0426940917969,297.5914001464844,23.56431007385254,100374.21875,83.32827758789062,290.089111328125,4.112674713134766
3,2040-06-01 00:00:00,70.72756958007812,299.8056640625,297.4893493652344,23.510229110717773,100122.8359375,84.2356185913086,290.08447265625,4.427720546722412
4,2040-06-01 00:00:00,94.8151626586914,299.556396484375,297.38232421875,23.45363426208496,99850.5625,85.20404052734375,290.0677795410156,4.674811840057373
5,2040-06-01 00:00:00,120.67362976074219,299.29620361328125,297.270263671875,23.393890380859375,99561.046875,86.22551727294922,290.0360107421875,4.87924861907959
6,2040-06-01 00:00:00,150.0454559326172,299.00372314453125,297.14373779296875,23.32566261291504,99230.2734375,87.38542175292969,289.9978942871094,5.063650608062744
7,2040-06-01 00:00:00,185.12265014648438,298.6599426269531,296.99407958984375,23.243694305419922,98836.6328125,88.76280975341797,289.9595031738281,5.239830017089844
8,2040-06-01 00:00:00,226.82504272460938,298.257080078125,296.8165588378906,23.14467430114746,98370.03125,90.393310546875,289.9201965332031,5.403597354888916
9,2040-06-01 00:00:00,276.5307312011719,297.7878723144531,296.6018981933594,23.023540496826172,97817.1328125,92.3043212890625,289.89630126953125,5.551902770996094
10,2040-06-01 01:00:00,8.985416412353516,301.1059265136719,297.1009521484375,22.454729080200195,100859.8203125,72.99392700195312,316.552734375,3.5232601165771484
11,2040-06-01 01:00:00,27.820402145385742,300.7912292480469,296.9229736328125,22.318416595458984,100647.7734375,73.73941040039062,315.9153747558594,4.448488712310791
12,2040-06-01 01:00:00,48.3917236328125,300.5380859375,296.81317138671875,22.26042938232422,100414.3125,74.5877914428711,316.1012878417969,4.904298305511475
13,2040-06-01 01:00:00,70.71206665039062,300.291748046875,296.71124267578125,22.2116756439209,100162.21875,75.46101379394531,316.4855041503906,5.17163610458374
14,2040-06-01 01:00:00,94.79179382324219,300.03985595703125,296.60821533203125,22.16356658935547,99890.9921875,76.3748550415039,316.9506530761719,5.365241527557373
15,2040-06-01 01:00:00,120.64259338378906,299.77764892578125,296.5015869140625,22.114219665527344,99600.15625,77.34357452392578,317.5107116699219,5.516955852508545
16,2040-06-01 01:00:00,150.00668334960938,299.4854431152344,296.3834533691406,22.059986114501953,99270.4375,78.44391632080078,318.1843566894531,5.643341541290283
17,2040-06-01 01:00:00,185.0756378173828,299.1439208984375,296.2460021972656,21.99700164794922,98877.8359375,79.75536346435547,319.0655212402344,5.754988670349121
18,2040-06-01 01:00:00,226.76954650878906,298.7479553222656,296.08721923828125,21.924184799194336,98412.8046875,81.30928039550781,320.25177001953125,5.846428871154785
19,2040-06-01 01:00:00,276.46807861328125,298.2839660644531,295.8975830078125,21.839759826660156,97860.1484375,83.18023681640625,321.83709716796875,5.914770603179932
20,2040-06-01 02:00:00,9.042473793029785,302.8424987792969,297.72857666015625,22.71883201599121,100894.28125,66.99345397949219,325.2964782714844,2.034747838973999
21,2040-06-01 02:00:00,27.997413635253906,302.513916015625,297.5751953125,22.620010375976562,100680.78125,67.87821197509766,325.52325439453125,2.5121591091156006
22,2040-06-01 02:00:00,48.700225830078125,302.2475891113281,297.4667663574219,22.566165924072266,100447.859375,68.71895599365234,326.051513671875,2.7327163219451904
23,2040-06-01 02:00:00,71.16307067871094,301.9917907714844,297.3638610839844,22.51726531982422,100195.15625,69.55049896240234,326.637939453125,2.878763198852539
24,2040-06-01 02:00:00,95.3958511352539,301.7325439453125,297.2595520019531,22.467824935913086,99924.25,70.40597534179688,327.3216247558594,2.9988937377929688
25,2040-06-01 02:00:00,121.40975952148438,301.463134765625,297.1507263183594,22.415754318237305,99632.8984375,71.30508422851562,328.01788330078125,3.0945653915405273
26,2040-06-01 02:00:00,150.9578094482422,301.1647644042969,297.0298156738281,22.357311248779297,99303.5078125,72.31317901611328,328.787353515625,3.1802492141723633
27,2040-06-01 02:00:00,186.24603271484375,300.81378173828125,296.8871154785156,22.28742218017578,98909.9921875,73.51533508300781,329.682861328125,3.2614166736602783
28,2040-06-01 02:00:00,228.19924926757812,300.4029541015625,296.71954345703125,22.204225540161133,98444.5234375,74.94595336914062,330.92718505859375,3.3553452491760254
29,2040-06-01 02:00:00,278.2028503417969,299.9163513183594,296.51611328125,22.104412078857422,97891.4296875,76.67695617675781,332.37493896484375,3.4440014362335205
